"DEPARTURES_SCHEDULED","DEPARTURES_PERFORMED","PAYLOAD","SEATS","PASSENGERS","FREIGHT","MAIL","DISTANCE","RAMP_TO_RAMP","AIR_TIME","UNIQUE_CARRIER_NAME","CARRIER","ORIGIN","DEST","AIRCRAFT_GROUP","AIRCRAFT_TYPE","AIRCRAFT_CONFIG","YEAR","QUARTER","MONTH","DISTANCE_GROUP","CLASS",
0.00,1.00,37610.00,145.00,87.00,300.00,5400.00,692.00,116.00,93.00,"Delta Air Lines Inc.","DL","ABE","ATL",7,"715",1,1994,4,12,2,"F",
0.00,1.00,31800.00,126.00,60.00,0.00,4964.00,654.00,113.00,104.00,"United Air Lines Inc.","UA","ABE","ORD",6,"619",1,1994,4,12,2,"F",
0.00,1.00,36560.00,147.00,65.00,0.00,2459.00,654.00,111.00,95.00,"United Air Lines Inc.","UA","ABE","ORD",7,"715",1,1994,4,12,2,"F",
0.00,1.00,31201.00,139.00,85.00,0.00,0.00,677.00,117.00,101.00,"Continental Air Lines Inc.","CO","ABQ","LAX",6,"655",1,1994,4,12,2,"F",
0.00,1.00,49000.00,188.00,183.00,74.00,3162.00,1118.00,137.00,121.00,"United Air Lines Inc.","UA","ABQ","ORD",6,"622",1,1994,4,12,3,"F",
0.00,2.00,76220.00,296.00,266.00,614.00,3605.00,328.00,156.00,126.00,"America West Airlines Inc.","HP","ABQ","PHX",6,"694",1,1994,4,12,1,"F",
0.00,1.00,34310.00,132.00,20.00,0.00,150.00,328.00,76.00,61.00,"Trans World Airways LLC","TW","ABQ","PHX",6,"655",1,1994,4,12,1,"F",
0.00,1.00,73390.00,254.00,250.00,230.00,400.00,328.00,62.00,48.00,"Trans World Airways LLC","TW","ABQ","PHX",7,"760",1,1994,4,12,1,"F",
0.00,1.00,48210.00,184.00,95.00,518.00,1200.00,328.00,74.00,60.00,"Northwest Airlines Inc.","NW","ABQ","PHX",6,"622",1,1994,4,12,1,"F",
0.00,1.00,31824.00,128.00,104.00,174.00,400.00,896.00,151.00,135.00,"US Airways Inc.","US","ABQ","SFO",6,"619",1,1994,4,12,2,"F",
0.00,1.00,6163.00,30.00,5.00,0.00,0.00,75.00,31.00,17.00,"ExpressJet Airlines LLC","EV","ABY","DHN",4,"461",1,1994,4,12,1,"F",
0.00,1.00,6163.00,30.00,9.00,0.00,0.00,86.00,39.00,27.00,"ExpressJet Airlines LLC","EV","ABY","MCN",4,"461",1,1994,4,12,1,"F",
0.00,1.00,6163.00,30.00,9.00,0.00,0.00,75.00,30.00,22.00,"ExpressJet Airlines LLC","EV","ABY","VLD",4,"461",1,1994,4,12,1,"F",
0.00,3.00,18489.00,90.00,45.00,0.00,0.00,89.00,145.00,90.00,"ExpressJet Airlines LLC","EV","ACT","DFW",4,"461",1,1994,4,12,1,"F",
0.00,4.00,12720.00,60.00,31.00,0.00,0.00,45.00,141.00,96.00,"ExpressJet Airlines LLC","EV","ACT","ILE",4,"464",1,1994,4,12,1,"F",
0.00,1.00,35602.00,66.00,1.00,2423.00,1026.00,1192.00,150.00,138.00,"Reeve Aleutian Airways Inc.","RV","ADK","ANC",7,"711",3,1994,4,12,3,"F",
